id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan,num_contracts,bank_counts,total_loan_summa
2925211.0,2024-02-12 19:24:29.135000+00:00,58,-1.0,427,82,7,0
2925213.0,2024-02-12 19:24:29.135000+00:00,58,-1.0,427,82,7,0
2925215.0,2024-02-12 19:25:10.176000+00:00,58,-1.0,427,82,7,0
2925216.0,2024-02-12 19:25:10.176000+00:00,58,-1.0,427,82,7,0
2925218.0,2024-02-12 19:40:15.507000+00:00,13,-3.0,288,17,8,99995700
2925220.0,2024-02-12 19:40:15.507000+00:00,13,-3.0,288,17,8,99995700
2925222.0,2024-02-12 19:40:43.421000+00:00,13,-3.0,288,17,8,99995700
2925224.0,2024-02-12 19:40:43.421000+00:00,13,-3.0,288,17,8,99995700
2925227.0,2024-02-12 19:42:18.189000+00:00,13,-3.0,288,17,8,99995700
2925228.0,2024-02-12 19:42:18.189000+00:00,13,-3.0,288,17,8,99995700
2925231.0,2024-02-13 03:25:23.976000+00:00,12,2537851751.0,170,37,8,2542652151
2925232.0,2024-02-13 03:25:23.976000+00:00,12,2537851751.0,170,37,8,2542652151
2925234.0,2024-02-13 03:41:40.303000+00:00,3,-3.0,-1,3,2,0
2925236.0,2024-02-13 03:41:40.303000+00:00,3,-3.0,-1,3,2,0
2925238.0,2024-02-13 03:42:10.012000+00:00,3,-3.0,-1,3,2,0
2925240.0,2024-02-13 03:42:10.012000+00:00,3,-3.0,-1,3,2,0
2925243.0,2024-02-13 03:51:23.602000+00:00,20,559300000.0,158,98,12,693700000
2925244.0,2024-02-13 03:51:23.602000+00:00,20,559300000.0,158,98,12,693700000
2925246.0,2024-02-13 03:55:31.382000+00:00,3,-3.0,-1,3,2,0
2925247.0,2024-02-13 03:55:31.382000+00:00,3,-3.0,-1,3,2,0
2925250.0,2024-02-13 04:04:11.928000+00:00,55,2176827289.0,38,55,5,2176827289
2925252.0,2024-02-13 04:04:11.928000+00:00,55,2176827289.0,38,55,5,2176827289
2925254.0,2024-02-13 04:05:02.726000+00:00,55,2176827289.0,38,55,5,2176827289
2925256.0,2024-02-13 04:05:02.726000+00:00,55,2176827289.0,38,55,5,2176827289
